Product Hit ID,DUNSNUMBER,VENDOR,Product ID,PRODUCT,Date First Verified,Date Last Verified,INTENSITY,Category Parent,CATEGORY,ATTRIBUTES,Location Type,COMPANY,ADDRESS,CITY,STATE,ZIP,COUNTRY,PHONE,URL,REVENUE,EMPLOYEES,SIC2,SIC2 Description,SIC3,SIC3 Description,SIC4,SIC4 Description
37888914,8129967,Microsoft Corporation,12416,Skype,2016-04-28 00:00:00.000,2020-06-12 00:00:00.000,20,Productivity Solutions,Collaboration,Chat Software;Web Conferencing,branch loc.,Reddy Ice Corporation,1409 N 28th St,Harlingen,TX,785504551,USA,9564286666,reddyice.com,0,0,20,Food and Kindred Products,209,Miscellaneous Food And Kindred Products,2097,Manufactured ice
37888618,8249496,"Adobe, Inc.",791,Adobe (Unspecified Product),2019-04-23 00:00:00.000,2019-06-11 00:00:00.000,5,Productivity Solutions,Visualization Software,,branch loc.,The Salvation Army,2211 E Cumberland St,Lebanon,PA,170429201,USA,7173064272,salvationarmy.org,0,0,80,Health Services,805,Nursing And Personal Care Facilities,8052,Intermediate care facilities
37889109,8249496,Microsoft Corporation,562,Microsoft Office,2020-03-03 00:00:00.000,2020-05-03 00:00:00.000,8,Productivity Solutions,Productivity Solutions,,branch loc.,The Salvation Army,2211 E Cumberland St,Lebanon,PA,170429201,USA,7173064272,salvationarmy.org,0,0,80,Health Services,805,Nursing And Personal Care Facilities,8052,Intermediate care facilities
37888991,8249496,Microsoft Corporation,628,Microsoft PowerPoint,2020-03-03 00:00:00.000,2020-05-03 00:00:00.000,8,Productivity Solutions,Visualization Software,,branch loc.,The Salvation Army,2211 E Cumberland St,Lebanon,PA,170429201,USA,7173064272,salvationarmy.org,0,0,80,Health Services,805,Nursing And Personal Care Facilities,8052,Intermediate care facilities
37888546,8167627,"Autodesk, Inc.",94,AutoCAD,2011-08-01 00:00:00.000,2017-03-01 00:00:00.000,5,Productivity Solutions,Visualization Software,3D Modeling;CAD/CAE/CAM,branch loc.,Sheaffer Stahl Engineering LLC,106 N High St,Selinsgrove,PA,178701536,USA,5703744813,sse-llc.com,438911,6,87,Engineering Accounting Research Management and Related Services,871,Engineering And Architectural Services,8711,Engineering services
37888386,8167627,"Autodesk, Inc.",95,Autodesk (Unspecified Product),2011-08-01 00:00:00.000,2017-03-01 00:00:00.000,5,Productivity Solutions,Visualization Software,CAD/CAE/CAM,branch loc.,Sheaffer Stahl Engineering LLC,106 N High St,Selinsgrove,PA,178701536,USA,5703744813,sse-llc.com,438911,6,87,Engineering Accounting Research Management and Related Services,871,Engineering And Architectural Services,8711,Engineering services
37888227,8167627,Microsoft Corporation,562,Microsoft Office,2013-08-19 00:00:00.000,2013-08-19 00:00:00.000,1,Productivity Solutions,Productivity Solutions,,branch loc.,Sheaffer Stahl Engineering LLC,106 N High St,Selinsgrove,PA,178701536,USA,5703744813,sse-llc.com,438911,6,87,Engineering Accounting Research Management and Related Services,871,Engineering And Architectural Services,8711,Engineering services
37888387,8167627,U.S. Army Corps of Engineers,10978,HEC-PACK,2008-09-01 00:00:00.000,2019-12-26 00:00:00.000,2,Productivity Solutions,Visualization Software,,branch loc.,Sheaffer Stahl Engineering LLC,106 N High St,Selinsgrove,PA,178701536,USA,5703744813,sse-llc.com,438911,6,87,Engineering Accounting Research Management and Related Services,871,Engineering And Architectural Services,8711,Engineering services
37888709,8344702,"Adobe, Inc.",791,Adobe (Unspecified Product),2006-08-18 00:00:00.000,2020-03-18 00:00:00.000,112,Productivity Solutions,Visualization Software,,branch loc.,"T-Mobile Usa, Inc.",85 5th St NW,Atlanta,GA,303081000,USA,4046858635,t-mobile.com,0,0,48,Communications,481,Telephone Communication,4812,Radiotelephone communication
37889038,8344702,"Adobe, Inc.",4814,Adobe After Effects CC,2019-08-01 00:00:00.000,2019-08-01 00:00:00.000,1,Productivity Solutions,Visualization Software,3D Modeling;Data Visualization,branch loc.,"T-Mobile Usa, Inc.",85 5th St NW,Atlanta,GA,303081000,USA,4046858635,t-mobile.com,0,0,48,Communications,481,Telephone Communication,4812,Radiotelephone communication
37889434,8344702,"Adobe, Inc.",19637,Adobe Creative Cloud,2014-03-03 00:00:00.000,2019-08-01 00:00:00.000,3,Productivity Solutions,Design & Publishing,Computer Graphics Rendering;Software as a Service (SaaS),branch loc.,"T-Mobile Usa, Inc.",85 5th St NW,Atlanta,GA,303081000,USA,4046858635,t-mobile.com,0,0,48,Communications,481,Telephone Communication,4812,Radiotelephone communication
37889236,8344702,"Adobe, Inc.",4726,Adobe Creative Suite,2014-03-03 00:00:00.000,2014-03-03 00:00:00.000,1,Productivity Solutions,Visualization Software,,branch loc.,"T-Mobile Usa, Inc.",85 5th St NW,Atlanta,GA,303081000,USA,4046858635,t-mobile.com,0,0,48,Communications,481,Telephone Communication,4812,Radiotelephone communication
37888722,8344702,"Adobe, Inc.",4737,Adobe Photoshop CC,2006-08-18 00:00:00.000,2017-07-25 00:00:00.000,75,Productivity Solutions,Visualization Software,Software as a Service (SaaS),branch loc.,"T-Mobile Usa, Inc.",85 5th St NW,Atlanta,GA,303081000,USA,4046858635,t-mobile.com,0,0,48,Communications,481,Telephone Communication,4812,Radiotelephone communication
37888752,8344702,"Amazon Web Services, Inc.",18601,Amazon Aurora,2019-06-06 00:00:00.000,2019-06-06 00:00:00.000,1,Data Center Solutions,Database Management Software,RDBMS,branch loc.,"T-Mobile Usa, Inc.",85 5th St NW,Atlanta,GA,303081000,USA,4046858635,t-mobile.com,0,0,48,Communications,481,Telephone Communication,4812,Radiotelephone communication
37889033,8344702,"Amazon Web Services, Inc.",1289,Amazon DynamoDB,2017-10-09 00:00:00.000,2017-10-09 00:00:00.000,1,Data Center Solutions,Database Management Software,NoSQL,branch loc.,"T-Mobile Usa, Inc.",85 5th St NW,Atlanta,GA,303081000,USA,4046858635,t-mobile.com,0,0,48,Communications,481,Telephone Communication,4812,Radiotelephone communication
37889075,8344702,"Amazon Web Services, Inc.",20040,Amazon Elastic Block Store (Amazon EBS),2016-06-01 00:00:00.000,2019-02-01 00:00:00.000,6,Data Center Solutions,"Data Archiving, Back-Up & Recovery",Cloud File Storage;Enterprise Storage,branch loc.,"T-Mobile Usa, Inc.",85 5th St NW,Atlanta,GA,303081000,USA,4046858635,t-mobile.com,0,0,48,Communications,481,Telephone Communication,4812,Radiotelephone communication
37889034,8344702,"Amazon Web Services, Inc.",1292,AWS Identity and Access Management (IAM),2016-06-01 00:00:00.000,2017-03-22 00:00:00.000,3,Data Center Solutions,System Security Services,Identity Governance,branch loc.,"T-Mobile Usa, Inc.",85 5th St NW,Atlanta,GA,303081000,USA,4046858635,t-mobile.com,0,0,48,Communications,481,Telephone Communication,4812,Radiotelephone communication
37888665,8344702,"Apple, Inc.",5337,Apple iOS SDK,2019-10-18 00:00:00.000,2019-10-18 00:00:00.000,1,Data Center Solutions,Operating Systems & Computing Languages,Application Development Tools,branch loc.,"T-Mobile Usa, Inc.",85 5th St NW,Atlanta,GA,303081000,USA,4046858635,t-mobile.com,0,0,48,Communications,481,Telephone Communication,4812,Radiotelephone communication
37888968,8344702,Atlassian Pty Ltd,1075,Atlassian Bamboo,2015-07-01 00:00:00.000,2016-06-01 00:00:00.000,4,Data Center Solutions,Database Management Software,Testing Framework/Continuous Integration,branch loc.,"T-Mobile Usa, Inc.",85 5th St NW,Atlanta,GA,303081000,USA,4046858635,t-mobile.com,0,0,48,Communications,481,Telephone Communication,4812,Radiotelephone communication
